COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
AL843,Physical Activity and Health Science,306,,326,306,,,,8
AL850,Business,309,,377,309,,,,8
AL851,Business and Law,295,,351,295,,,,8
AL852,Accounting,309,,422,309,,,,8
AL854,Sport Management (with international placement),299,,338,302,,299,,8
AL855,Hospitality Management (with international placement),308,,347,308,,,,8
AL857,Digital Marketing,304,,332,304,,,,8
AL860,Social Care Practice,300,,348,300,,,,8
AL861,Animation and Illustration (portfolio),578,,878,578,,,,8
AL863,Graphic and Digital Design (portfolio),781,,824,781,,,,8
AL864,Early Years Care and Education,307,,346,307,,,,8
AL870,Applied Psychology,418,,444,418,,,,8
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",518,,544,510,,,,8
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",434,*,466,441,*,434,*,8
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,,484,440,*,440,,8
AS051,"Nutrition, Food and Business Management",317,,398,328,,317,,8
AS054,Home Economics,398,,429,408,,398,,8
AS110,General Nursing,419,*,431,419,*,,,8
AS130,Intellectual Disability Nursing,317,,339,336,*,328,,8
CI001,Counselling Skills and Psychotherapy Studies,300,,440,300,,,,6/7
CI002,Counselling Skills and Addiction Studies,309,,367,309,,,,6/7
CI005,Counselling Skills and Youth Studies,302,,451,306,,302,,6/7
CI110,Counselling and Psychotherapy,310,,392,310,,,,8
CI111,Counselling and Addiction Studies,301,,319,301,,,,8
CI112,Counselling and Youth Studies,311,,311,311,,,,8
CK101,Arts - 3 years,300,,388,300,,,,8
CK102,Social Science,412,,451,412,,,,8
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302,,435,302,,,,8
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),319,,418,368,,337,,8
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328,,388,328,,,,8
CK108,Arts International - 4 years,401,,466,401,,,,8
CK109,English - 3 years or 4 years (International Pathway),318,,441,318,,,,8
CK110,World Languages,410,,506,452,,433,,8
CK111,Early Years and Childhood Studies,419,,451,419,,,,8
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,,434,330,,,,8
CK113,Criminology - 3 years or 4 years (International Pathway),423,,463,423,,,,8
CK114,Social Science (Youth and Community Work) - 3 years,777,,,,,,,8
CK115,Social Work - Mature Applicants only,999,,,,,,,8
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336,,378,336,,,,8
CK120,Applied Psychology,531,*,555,533,*,532,*,8
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466,,496,466,,,,8
CK122,Government and Political Science,326,,403,337,,328,,8
CK123,Anthropology,308,,410,308,,,,8
CK124,Education - Gaeilge,452,*,495,463,,462,,8
CK125,Sports Studies and Physical Education,509,*,532,510,*,509,*,8
CK201,Commerce,477,*,509,477,*,,,8
CK202,Accounting,509,,542,509,,,,8
CK203,Business Information Systems,430,,467,430,,,,8
CK204,Finance,556,,590,556,,,,8
CK205,Commerce (International) with French,445,,495,445,,,,8
CK206,Commerce (International) with German,418,,476,420,,418,,8
CK207,Commerce (International) with Italian,388,,455,388,,,,8
CK208,Commerce (International) with Hispanic Studies,402,,484,402,,,,8
CK209,Commerce (International) with Irish,484,,531,484,,,,8
CK211,Commerce (International) with Chinese Studies,397,,433,397,,,,8
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444,,473,444,,,,8
CK213,Food Marketing and Entrepreneurship,462,,476,462,,,,8
CK214,International Development,346,,422,346,,,,8
CK301,Law (Pathways) -  3 or 4 years,498,*,531,507,,499,,8
CK302,Law and French,542,,576,542,,,,8
CK304,Law and Irish,540,,565,540,,,,8
