,COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
217,CR560,Architectural Technology,308,,377,308,,,,8
218,CR565,Interior Architecture,359,,423,359,,,,8
219,CR570,Quantity Surveying,336,,392,336,,,,8
220,CR572,Construction Management,269,,318,269,,,,8
221,CR580,Electrical Engineering,318,,377,318,,,,8
222,CR590,Electronic Engineering,303,,379,303,,,,8
223,CR600,Visual Communications,#+matric,,#+matric,#+matric,,,,8
224,CR620,Early Childhood Education and Care,357,,454,365,,357,,7
225,CR640,Culinary Arts,244,,392,244,,,,7
226,CR650,Beverage Industry Management,209,,316,209,,,,7
227,CR655,Culinary Studies,189,,290,189,,,,6
228,CR657,Hospitality Studies,163,,198,180,,163,,6
229,CR660,Tourism Management,252,,325,252,,,,8
230,CR700,Theatre and Drama Studies at CIT Cork School of Music,645,,982,740,,645,,8
231,CR805,Marine Electrotechnology at National Maritime College of Ireland,235,,326,235,,,,7
232,CR888,Information Technology,290,,372,290,,,,7
233,CT110,Computing in Information Technology,210,,400,210,,,,6
234,CT116,Information Technology,219,,263,219,,,,7
235,CT125,Information Technology,220,,299,220,,,,8
236,CT325,Business,281,,338,338,,,,8
237,CW006,Business,AQA,,254,AQA,,AQA,,6
238,CW018,Business (options),248,,312,298,,248,,8
239,CW027,Sustainable Farm Management and Agribusiness,268,,360,266,,,,7
240,CW028,Early Childhood Education and Care,252,,301,252,,,,8
241,CW037,Business (options),195,,400,195,,,,7
242,CW038,Art (portfolio),700,,700,700,,,,8
243,CW047,Visual Communications and Design,181,,336,214,,181,,7
244,CW057,Art (portfolio),700,,700,700,,,,7
245,CW058,Tourism and Event Management,298,,348,298,,,,8
246,CW068,Applied Social Studies in Professional Social Care,245,,292,245,,,,8
247,CW077,Tourism and Event Management,217,,311,217,,,,7
248,CW078,Sustainable Farm Management and Agribusiness,269,,327,269,,,,8
249,CW088,Visual Communications and Design,274,,340,274,,,,8
250,CW106,Physiology and Health Science,451,,509,451,,,,6
251,CW107,Analytical Science,277,,445,277,,,,7
252,CW108,Science (options),261,,346,261,,,,8
253,CW116,Pharmacy Technician Studies,250,,388,250,,,,6
254,CW117,Biosciences,205,,380,205,,,,7
255,CW126,Science - Applied Biology or Applied Chemistry,191,,424,191,,,,6
256,CW128,Brewing and Distilling,263,,318,263,,,,8
257,CW138,Sport and Exercise Science,423,,444,423,,,,8
258,CW148,Strength and Conditioning,379,,400,379,,,,8
259,CW188,Sport Rehabilitation and Athletic Therapy,448,,466,451,,448,,8
260,CW206,Computing - Applications or Programming,235,,369,235,,,,6
261,CW207,Software Development,244,,329,244,,,,7
262,CW208,Computer Games Development,279,,327,279,,,,8
263,CW217,Information Technology Management,234,,377,234,,,,7
264,CW227,Cybercrime and IT Security,242,,357,233,,,,7
265,CW237,Computing in Interactive Digital Art and Design,212,,337,212,,,,7
266,CW238,Software Development,297,,341,297,,,,8
267,CW248,Information Technology Management,285,,385,285,,,,8
268,CW258,Cybercrime and IT Security,293,,358,293,,,,8
269,CW268,Computing in Interactive Digital Art and Design,287,,369,287,,,,8
270,CW407,Architectural Technology,188,,358,188,,,,7
271,CW417,Construction Management with Building Services,220,,322,220,,,,7
272,CW427,Civil Engineering,199,,347,199,,,,7
273,CW438,Construction (options),272,,336,272,,,,8
274,CW468,Architectural Technology,262,,358,262,,,,8
275,CW478,Civil Engineering,433,,492,433,,,,8
276,CW507,Aircraft Systems,294,,399,293,,,,7
277,CW517,Mechanical Engineering,276,,371,276,,,,7
278,CW527,Electronic Engineering,227,,357,227,,,,7
279,CW547,TV and Media Production,301,,413,301,,,,7
280,CW548,Mechanical Engineering,321,,371,321,,,,8
281,CW558,Electronic Systems,280,,361,280,,,,8
282,CW568,Aerospace Engineering,380,,442,380,,,,8
283,CW578,TV and Media Production,325,,420,325,,,,8
284,CW706,Legal Studies,163,,377,163,,,,6
285,CW707,Industrial Design,207,,380,207,,,,7
286,CW708,Law - LLB,302,,349,302,,,,8
287,CW717,Professional Social Care Practice,288,,347,288,,,,7
288,CW728,Product Design Innovation,252,,359,252,,,,8
289,CW748,Early Childhood Education and Care,270,,327,270,,,,8
290,CW758,Professional Social Care Practice,336,,358,336,,,,8
291,CW807,Sport Coaching and Business Management - GAA (portfolio),700,,700,700,,,,7
292,CW808,Media and Public Relations,251,,298,251,,,,8
293,CW817,Sport Coaching and Business Management - Rugby (portfolio),700,,700,700,,,,7
294,CW827,Sport Coaching and Business Management - Soccer (portfolio),700,,700,700,,,,7
295,CW837,Digital Marketing with Analytics,200,,356,200,,,,7
296,CW848,Digital Marketing with Analytics,269,,326,254,,,,8
297,CW858,"Sports Management and Coaching (options, portfolio)",700,,700,700,,,,8
298,CW906,Business,177,,297,177,,,,6
299,CW908,Business (options),280,,357,280,,,,8
300,CW917,Business (options),224,,378,224,,,,7
301,CW926,Business with Law,210,,409,210,,,,6
302,CW936,Accounting,231,,403,231,,,,6
303,CW938,Business with Law,283,,301,283,,,,8
304,CW948,Accounting,300,,364,300,,,,8
305,DB500,Computing,218,,301,218,,218,,8
306,DB501,Computing (Cloud Computing),227,,280,227,,227,,8
307,DB502,Computing (Data Analytics and Big Data),334,,377,341,,341,,8
308,DB503,Computing (Software Development),225,,281,225,,225,,8
309,DB504,Computing (Web and Mobile Technology),281,,281,,,281,,8
310,DB510,Audio Production and Music Project Management,223,,290,234,,223,,8
311,DB512,Business Studies,203,,308,218,,203,,8
312,DB514,Business Studies (Law),251,,270,252,,,,8
313,DB515,Business Studies (Human Resource Management),244,,326,244,,244,,8
314,DB516,Financial Services,,,,,,,,8
315,DB517,Marketing (Event Management),238,,309,238,,,,8
316,DB521,Accounting and Finance,195,,318,225,,195,,8
317,DB524,Business (Information Systems),309,,409,342,,309,,8
318,DB526,Business (Cloud Computing),347,,423,347,,,,8
319,DB527,Applied Social Care,234,,306,234,,260,,8
320,DB528,Applied Social Care,AQA,,337,AQA,,AQA,,7
321,DB531,Marketing,293,,336,293,,,,8
322,DB534,Sound Engineering and Music Production,AQA,,338,AQA,,AQA,,6
323,DB562,Psychology,229,,322,243,,229,,8
324,DB563,Arts,161,,357,161,,189,,6
325,DB566,Social Science,220,,290,220,,227,,8
326,DB567,Film and Creative Media,202,,290,218,,202,,8
327,DB568,Law,217,,309,219,,252,,8
328,DB569,Business (Psychology),252,,284,252,,,,8
329,DB571,Business Studies,122,,398,173,,211,,7
330,DB572,Business in Accounting,117,,368,119,,117,,7
331,DB573,Business in Marketing,117,,388,117,,146,,7
332,DB574,Business in Information Technology,136,,388,136,,388,,7
333,DB576,Film and Creative Media,AQA,,338,AQA,,AQA,,7
