,COURSE TITLE
847,Law with Criminal Justice
848,Law
849,Sports and Exercise - Common Entry
850,Culinary Arts
851,Hospitality And Tourism - Common Entry
852,Design - Common Entry
853,Digital Film and Video
854,Animation
855,Fashion with Promotion
856,Graphic and Digital Design
857,Quantity Surveying
858,Fire Safety Engineering
859,Quantity Surveying
860,Civil Engineering
861,Construction Management
862,Electronic Engineering
863,Mechanical Engineering
864,Mechanical Engineering
865,Electronic Engineering
866,Computer Games Development
867,Applied Computing
868,Computing
869,Computer Security and Digital Forensics
870,Computer Science
871,Pharmacy Technician
872,Dental Nursing
873,Bioscience
874,Science - Common Entry
875,Health Science with Physiotherapy Studies
876,Agriculture - Common Entry
877,Health Science with Occupational Therapy Studies
878,Food Science and Nutrition
879,Health Science with Dietetics Studies
880,Veterinary Nursing
881,Pharmaceutical & Medicinal Science
882,Agriculture
883,"Early Childhood Care, Health and Education"
884,General Nursing
885,Health and Social Care
886,Psychiatric Nursing
887,Intellectual Disability Nursing
888,"Early Childhood Care, Health and Education"
889,Health & Social Care - Common Entry
890,Education - Primary Teaching (Froebel)
891,Education - Primary Teaching - Gaeltacht Applicants (Froebel)
892,Arts
893,Music
894,Psychology - 3 years
895,Social Science
896,Media Studies
897,Community and Youth Work (Full-Time)
898,Science
899,Biotechnology
900,Biological and Geographical Sciences
901,Physics with Astrophysics
902,Theoretical Physics and Mathematics
903,Data Science
904,Biological and Biomedical Sciences
905,Psychology (through Science) - 4 years
906,Pharmaceutical and Biomedical Chemistry
907,Science or Maths & Computer Science or Maths & Applied Maths (with Ed)
908,Engineering (Computer/Electronic/Communications)
909,Product Design
910,Robotics and Intelligent Devices
911,Finance (options)
912,Quantitative Finance
913,Accounting and Finance
914,Business (options)
915,Equine Business
916,Business and Accounting
917,Entrepreneurship
918,LLB Law - four year Single Major Law programme
919,Law (options)
920,Computer Science through Arts (options)
921,Computer Science through Science (options)
922,Computational Thinking
923,Early Childhood - Teaching and Learning (part-time)
924,"Community and Youth Work (part-time, in service)"
925,"Local Studies/Community Studies (part-time, evening) - Mature Students"
926,Contemporary & Applied Theatre Studies
927,Arts
928,Education - Primary Teaching - International
929,Education - Primary Teaching
930,Education - Primary Teaching - Gaeltacht Applicants
931,Early Childhood Care and Education
932,Education and Psychology - Primary Teaching
933,"Education, Business Studies and Accounting"
934,"Education, Business Studies and Religious Studies"
935,"Education, Gaeilge and Religious Studies"
936,"Education, Gaeilge and Business Studies"
937,"Education, Mathematics and Gaeilge"
938,"Education, Mathematics and Business Studies"
939,Theology and Arts
940,Theology
941,Computing (Degree Award options)
942,Human Resource Management
943,Business
944,Psychology
945,Marketing Practice
946,Accounting and Finance
947,Technology Management (with specialisations)
948,Computing
949,Business
950,Business Computing
951,Montessori Education
952,Montessori Education
953,Arts and Humanities
954,Applied Social Studies - Professional Social Care
955,"Social, Political and Community Studies"
956,Arts and Humanities (fulfils Teaching Council requirements)
957,English and History (fulfils Teaching Council requirements)
958,Medicine - Undergraduate Entry (HPAT required)
959,Physiotherapy
960,Pharmacy
961,Medicine - Graduate Entry (GAMSAT required)
962,Business
963,Computing (Level 6 - General Entry)
964,Computing - Games Development
965,Applied Sport with Business
966,Business in Tourism with Event Management
967,Computing - Software Development
968,Computing (Computer Networks and Cloud Infrastructure)
969,Computing (Level 7 - General Entry)
970,Business
971,Business in International Marketing and Languages (French)
972,Business in International Marketing and Languages (Spanish)
973,Accounting
974,Sport with Business
975,Tourism with Event Management
976,Fine Art
977,Creative Design
978,Performing Arts (Theatre Design)
979,Performing Arts (Acting)
980,Performing Arts
981,Early Childhood Care and Education
982,Social Care Practice
983,Fine Art
984,Creative Design
985,Computing
986,English and Psychology
987,Sociology and Politics
988,Writing and Literature
989,Application Design and User Experience
990,Computing (Smart Technologies)
991,Software Development
992,Computer Networks and Cloud Infrastructure
993,Writing and Literature Online
994,Engineering (General Entry)
995,Construction Economics
996,Applied Construction Technology
997,Engineering (General Entry)
998,Interior Architecture and Design
999,Advanced Wood and Sustainable Building Technology
1000,Mechanical Engineering
1001,Mechatronic Engineering
1002,Precision Engineering and Design
1003,Civil Engineering
1004,Quantity Surveying
1005,Civil Engineering
1006,Quantity Surveying
1007,Construction Project Management and Applied Technology
1008,Architecture
1009,Interior Architecture and Design
1010,Science
1011,Environmental Science with Ecology (Level 6)
1012,Health and Exercise Science
1013,Pharmaceutical Science with Drug Development
1014,Occupational Safety and Health
1015,Human Nutrition
1016,Health Science and Physiology
1017,Biomedical Science
1018,Forensic Investigation and Analysis
1019,Environmental Science with Ecology (Level 7)
1020,Occupational Safety and Health
1021,Human Nutrition
1022,Science Undenominated
1023,Pharmaceutical Science with Drug Development
1024,Health Science and Physical Activity
1025,Forensic Investigation and Analysis
1026,Medical Biotechnology
