COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL,New,2020 EOS Portfolio
GA184,Marketing and Sales,307,False,357,307,False,,False,8,307,
GA185,Finance and Economics,293,False,392,293,False,,False,8,293,
GA186,Business with Entrepreneurship,280,False,356,280,False,,False,8,280,
GA187,Rural Enterprise and Agri-Business,281,False,352,281,False,,False,8,281,
GA272,Heritage Studies,188,False,363,188,False,188,False,6/7,188,
GA273,Contemporary Art,702,False,892,702,False,,False,6/7,702,
GA274,Design,251,False,378,251,False,,False,6/7,251,
GA281,Film and Documentary,304,False,379,304,False,,False,8,304,
GA282,Heritage Studies,220,False,281,220,False,,False,8,220,
GA283,Contemporary Art,679,False,870,679,False,,False,8,679,
GA284,Design,303,False,356,303,False,,False,8,303,
GA285,"Education (Art, Design and Graphics)",nan,False,,,False,,False,8,,
GA360,Business in Tourism,172,False,260,172,False,172,False,6/7,172,
GA361,Culinary Arts,193,False,375,193,False,,False,6/7,193,
GA362,Hotel and Hospitality Operations,228,False,330,240,False,228,False,6/7,228,
GA364,Heritage Studies,252,False,369,252,False,252,False,6/7,252,
GA370,Hotel and Catering Management,198,False,362,198,False,,False,6/7,198,
GA376,Event Management with Public Relations,187,False,348,206,False,187,False,6/7,187,
GA377,International Tourism Management,172,False,360,172,False,,False,6/7,172,
GA378,Culinary and Gastronomic Science,219,False,432,219,False,,False,6/7,219,
GA380,International Hotel Management,242,False,330,242,False,,False,8,242,
GA381,International Tourism Management,278,False,350,278,False,,False,8,278,
GA382,Culinary and Gastronomic Science,206,False,337,206,False,,False,8,206,
GA384,Event Management with Public Relations,212,False,328,212,False,,False,8,212,
GA470,Construction Management,243,False,349,244,False,243,False,6/7,243,
GA471,Quantity Surveying and Construction Economics,200,False,347,200,False,,False,6/7,200,
GA472,Architectural Technology,226,False,367,226,False,,False,6/7,226,
GA473,Civil Engineering,241,False,432,241,False,,False,6/7,241,
GA480,Construction Management,260,False,336,260,False,,False,8,260,
GA482,Quantity Surveying and Construction Economics,288,False,350,288,False,,False,8,288,
GA483,Architectural Technology,265,False,337,265,False,,False,8,265,
GA484,Civil Engineering,290,False,383,290,False,,False,8,290,
GA570,Software and Electronic Engineering,224,False,399,224,False,,False,6/7,224,
GA580,Software and Electronic Engineering,300,False,393,300,False,,False,8,300,
GA670,Mechanical Engineering,265,False,413,265,False,,False,6/7,265,
GA673,Energy Engineering,260,False,452,260,False,,False,6/7,260,
GA674,Biomedical Engineering,298,False,455,298,False,,False,6/7,298,
GA675,Agricultural Engineering,298,False,386,298,False,,False,6/7,298,
GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),290,False,465,290,False,,False,6/7,290,
GA677,Manufacturing Engineering Design,235,False,379,235,False,,False,6/7,235,
GA680,Mechanical Engineering,330,False,401,330,False,,False,8,330,
GA681,Energy Engineering,293,False,366,293,False,,False,8,293,
GA682,Biomedical Engineering,313,False,393,313,False,,False,8,313,
GA683,Agricultural Engineering,309,False,385,309,False,,False,8,309,
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,False,405,340,False,,False,8,340,
GA685,Manufacturing Engineering Design,309,False,379,309,False,,False,8,309,
GA770,Applied Freshwater and Marine Biology,280,False,388,280,False,,False,6/7,280,
GA771,Applied Biology and Biopharmaceutical Science,280,False,465,280,False,,False,6/7,280,
GA772,Chemical and Pharmaceutical Science,280,False,487,280,False,,False,6/7,280,
GA773,Physics and Instrumentation,299,False,521,299,False,,False,6/7,299,
GA774,Science (Undenominated),289,False,490,289,False,,False,6/7,289,
GA775,Computing in Software Development,260,False,356,260,False,,False,6/7,260,
GA776,Computing and Digital Media,241,False,381,241,False,,False,6/7,241,
GA777,Agriculture and Environmental Management,281,False,393,281,False,,False,6/7,281,
GA780,Applied Freshwater and Marine Biology,327,False,377,327,False,,False,8,327,
GA781,Applied Biology and Biopharmaceutical Science,337,False,390,337,False,,False,8,337,
GA782,Chemical and Pharmaceutical Science,336,False,388,336,False,,False,8,336,
GA783,Physics and Instrumentation,363,False,408,363,False,,False,8,363,
GA784,Science (Undenominated),372,False,403,372,False,,False,8,372,
GA785,Medical Science,473,False,500,473,False,,False,8,473,
GA786,Forensic Science and Analysis,317,False,387,317,False,,False,8,317,
GA787,Computing in Software Development,270,False,315,270,False,,False,8,270,
GA788,Computing and Digital Media,282,False,356,274,False,,False,8,282,
GA789,Agriculture and Environmental Management,289,False,371,287,False,,False,8,289,
GA790,Sport and Exercise Science,356,False,409,356,False,,False,8,356,
GA791,Public Health Nutrition,368,False,409,368,False,,False,8,368,
GA862,History & Geography,178,False,382,178,False,,False,6/7,178,
GA864,Early Childhood Education and Care,204,False,357,214,False,204,False,6/7,204,
GA870,Outdoor Education and Leisure,171,False,399,182,False,171,False,6/7,171,
GA871,Early Childhood Education and Care,190,False,367,190,False,,False,6/7,190,
GA872,Culture and Environment,196,False,328,196,False,,False,6/7,196,
GA879,Applied Social Care,244,False,337,244,False,,False,6/7,244,
GA880,General Nursing,422,True,441,429,True,422,True,8,422,
GA882,Psychiatric Nursing,367,False,377,367,False,,False,8,367,
GA885,Outdoor Education,252,False,262,252,False,,False,8,252,
GA887,History and Geography,244,False,380,244,False,,False,8,244,
GA889,Applied Social Care,266,False,298,266,False,,False,8,266,
GA890,Early Childhood Education and Care,270,False,327,270,False,,False,8,270,
GA891,Geography and Outdoor Education,244,False,391,244,False,,False,8,244,
GA974,"Furniture Design, Making and Technology - Common Entry",214,False,388,214,False,,False,6/7,214,
GA980,Education (Design Graphics and Construction),377,False,411,377,False,,False,8,377,
GA984,"Furniture Design, Making and Technology - Common Entry",284,False,369,284,False,,False,8,284,
GB001,Business,115,False,415,,False,,False,6/7,115,
GC200,Business Studies,252,False,369,252,False,252,False,8,252,
GC201,Accounting and Finance,303,False,388,303,False,303,False,8,303,
GC230,Computing Science,325,False,393,335,False,325,False,8,325,
GC250,Communications and Media Production,nan,False,,,False,,False,8,,
GC300,Business Studies,390,False,432,429,False,,False,8,390,
GC301,Accounting & Finance,253,False,346,253,False,253,False,8,253,
GC302,Business Studies - HRM,nan,False,,,False,,False,8,,
GC305,International Hospitality Management,253,False,253,253,False,253,False,8,253,
GC306,International Hospitality Management,253,False,253,253,False,253,False,6/7,253,
GC335,Computing,195,False,235,217,False,195,False,6/7,195,
GC400,Business Studies,248,False,281,248,False,248,False,8,248,
GC401,Accounting and Finance,202,False,343,240,False,227,False,8,202,
GC402,Business Studies (HRM),218,False,236,264,False,236,False,8,218,
GC403,Law,228,False,328,244,False,228,False,8,228,
GC407,Business Studies (Marketing),218,False,321,280,False,280,False,8,218,
GC410,Marketing,145,False,371,145,False,,False,6/7,145,
GC411,Business,135,False,370,135,False,135,False,6/7,135,
GC430,Computing Science,220,False,298,252,False,220,False,8,220,
GC435,Computing,96,False,279,AQA,False,AQA,False,6/7,96,
GC450,Communications and Media Production,254,False,280,254,False,254,False,8,254,
GC460,Music Production for Games (portfolio),nan,False,,,False,,False,6/7,,
GC462,Design Communication (portfolio),nan,False,,,False,,False,8,,
GC465,Communications,AQA,False,349,AQA,False,,False,6/7,,
GC466,Film and TV Production,AQA,False,339,AQA,False,AQA,False,6/7,,
GC470,Photographic Media,169,False,279,169,False,169,False,6/7,169,
GC475,Photography,150,False,348,150,False,150,False,6/7,150,
GC489,Interior Architecture (portfolio),254,False,301,254,False,,False,8,254,
GC490,Interior Design,117,False,360,117,False,117,False,6/7,117,
GC494,Fashion Design (portfolio),217,False,412,337,False,217,False,8,217,
GC495,Fashion,129,False,349,129,False,129,False,6/7,129,
GY101,Arts (Joint-Honours),300,False,391,300,False,,False,8,300,
GY104,Arts (Psychology),519,False,542,523,False,520,False,8,519,
GY105,Arts (History),301,False,377,301,False,,False,8,301,
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,False,456,409,False,,False,8,409,
GY109,Arts (Mathematics and Education),403,False,466,403,False,,False,8,403,
GY110,Arts with Children`s Studies,357,False,418,357,False,,False,8,357,
GY111,Arts with Creative Writing,330,False,492,330,False,,False,8,330,
GY112,Arts with Film Studies,321,False,399,321,False,,False,8,321,
GY113,Arts with Human Rights,368,False,422,368,False,,False,8,368,
GY115,Arts with Performing Arts Studies,387,False,443,387,False,,False,8,387,
GY118,"Arts (Drama, Theatre and Performance Studies)",451,False,492,451,False,,False,8,451,
GY119,Arts (Journalism),400,False,465,400,False,,False,8,400,
GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,False,397,350,False,,False,8,350,
GY121,Arts (Children`s Studies),356,False,419,356,False,,False,8,356,
GY122,Na Dána (Cumarsáid agus Gaeilge),361,False,453,361,False,,False,8,361,
GY123,Applied Social Sciences,358,False,410,358,False,,False,8,358,
GY124,Arts (Arts with Data Science),454,False,490,454,False,,False,8,454,
GY125,Arts (Digital Arts and Technology),328,False,347,328,False,,False,8,328,
GY126,Arts (English and Media Studies),391,False,462,391,False,,False,8,391,
GY127,Arts (Film and Digital Media),401,False,462,401,False,,False,8,401,
GY128,Arts (Global Languages),352,False,476,352,False,,False,8,352,
GY129,Arts (International),420,False,462,420,False,,False,8,420,
GY130,Arts (Music),408,False,495,408,False,,False,8,408,
GY131,Arts (History and Globalisation Studies),360,False,440,360,False,,False,8,360,
GY132,"Government (Politics, Economics and Law)",407,False,435,407,False,,False,8,407,
GY133,Education (Computer Science and Mathematical Studies),422,False,498,422,False,,False,8,422,
GY134,Geography and Geosystems,410,False,445,410,False,,False,8,410,
GY201,Commerce,433,False,466,433,False,,False,8,433,
GY202,Commerce (International) with French,484,False,511,484,False,,False,8,484,
GY203,Commerce (International) with German,489,False,566,489,False,,False,8,489,
GY204,Commerce (International) with Spanish,495,False,511,495,False,,False,8,495,
GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,False,488,465,False,,False,8,465,
GY207,Commerce (Accounting) including optional Global Experience year,509,False,543,509,False,,False,8,509,
GY208,Commerce (Gaeilge),473,False,511,473,False,,False,8,473,
GY209,Commerce (Global Experience),530,False,554,530,False,,False,8,530,
GY250,Law and Business,487,False,510,487,False,,False,8,487,
GY251,Law (BCL),499,False,518,499,False,,False,8,499,
GY252,Law (BCL) and Human Rights,520,False,541,520,False,,False,8,520,
GY253,Law and Taxation,509,False,543,509,False,,False,8,509,
GY254,"Law (BCL), Criminology and Criminal Justice",530,False,554,530,False,,False,8,530,
GY261,"Business Studies (International Hotel Management, interview)",497,False,611,497,False,,False,8,497,
GY262,"Commerce (International Hotel Management, interview)",681,False,724,681,False,,False,8,681,
GY301,Science,432,False,487,433,False,432,False,8,432,
GY303,Biomedical Science,556,False,589,556,False,,False,8,556,
GY304,Biotechnology,465,False,498,465,False,,False,8,465,
GY308,Environmental Science,408,False,484,408,False,,False,8,408,
GY309,Financial Mathematics and Economics,487,False,532,487,False,,False,8,487,
GY310,Marine Science,419,False,476,419,False,,False,8,419,
GY313,Environmental Health and Safety,412,False,440,412,False,,False,8,412,
GY314,Earth and Ocean Sciences,403,False,444,403,False,,False,8,403,
GY318,Biopharmaceutical Chemistry,509,False,542,509,False,,False,8,509,
GY319,Mathematical Science,476,False,566,476,False,,False,8,476,
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,False,478,402,False,,False,8,402,
GY321,Genetics and Genomics,508,False,532,508,False,,False,8,508,
GY350,Computer Science and Information Technology,403,False,454,403,False,,False,8,403,
GY401,Engineering (Undenominated),465,False,511,465,False,,False,8,465,
GY402,Civil Engineering,455,False,499,455,False,,False,8,455,
GY405,Mechanical Engineering,454,False,509,454,False,,False,8,454,
GY406,Electronic and Computer Engineering,510,False,544,510,False,,False,8,510,
GY408,Biomedical Engineering,509,False,554,509,False,,False,8,509,
GY410,Project and Construction Management,403,False,456,403,False,,False,8,403,
GY413,Energy Systems Engineering,502,False,531,502,False,,False,8,502,
GY414,Electrical and Electronic Engineering,405,False,429,405,False,,False,8,405,
GY501,"Medicine (five year/six year course, HPAT required)",728,False,731,728,True,,False,8,728,
GY502,Occupational Therapy,555,False,567,555,False,,False,8,555,
GY503,Speech and Language Therapy,543,False,554,543,False,,False,8,543,
GY504,Podiatric Medicine,443,False,476,443,False,,False,8,443,
GY515,General Nursing (Galway and Portiuncula),473,False,496,476,False,473,False,8,473,
GY516,Mental Health Nursing,440,False,467,440,False,,False,8,440,
GY517,Midwifery,495,False,518,495,False,,False,8,495,
ID001,Accounting and Finance,203,False,253,203,False,,False,8,203,
ID002,Business Studies,294,False,309,294,False,,False,8,294,
LC110,"Art and Design (Common Entry, portfolio)",740,False,961,740,False,,False,8,740,
